                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46279,                0.59384,                0.87079,                0.99173,                0.99169,                0.99482,                0.91579,                0.41285,                0.32942,                0.83513,             0.00019693,             0.00019693,             0.00019693
                     37,                0.46594,                 0.6034,                0.87323,                0.99153,                0.99482,                0.99394,                0.91163,                0.41538,                0.32632,                0.83178,             0.00019673,             0.00019673,             0.00019673
                     38,                 0.4614,                0.59167,                0.86933,                0.98947,                0.99008,                 0.9944,                  0.918,                0.40561,                0.32633,                0.83162,             0.00019653,             0.00019653,             0.00019653
                     39,                0.46834,                0.58267,                0.86819,                0.99137,                0.99302,                0.99482,                0.91836,                0.40046,                0.32199,                0.82983,             0.00019633,             0.00019633,             0.00019633
                     40,                0.46478,                0.59867,                0.87458,                0.99051,                  0.989,                0.99455,                0.91546,                0.40903,                0.32506,                0.83098,             0.00019612,             0.00019612,             0.00019612
                     41,                0.45743,                0.57657,                0.86899,                0.98734,                0.99085,                0.99432,                0.91315,                0.40552,                0.32529,                0.82929,             0.00019592,             0.00019592,             0.00019592
                     42,                0.46572,                 0.5828,                  0.874,                0.99058,                0.99022,                0.99474,                0.91571,                0.40475,                0.31634,                0.82986,             0.00019572,             0.00019572,             0.00019572
                     43,                0.46582,                0.56988,                0.87121,                0.99285,                0.99319,                 0.9946,                0.91796,                0.39614,                0.30915,                0.82685,             0.00019552,             0.00019552,             0.00019552
                     44,                0.45749,                 0.5594,                0.86987,                0.99072,                 0.9927,                0.99486,                0.92094,                0.39642,                0.31086,                0.83033,             0.00019532,             0.00019532,             0.00019532
                     45,                0.46708,                0.56789,                0.87712,                 0.9906,                0.99205,                0.99489,                 0.9175,                 0.4009,                0.30782,                0.83313,             0.00019511,             0.00019511,             0.00019511
                     46,                 0.4625,                0.57047,                0.87281,                0.99085,                0.99152,                0.99465,                0.91841,                0.40423,                0.31498,                 0.8293,             0.00019491,             0.00019491,             0.00019491
                     47,                0.45435,                0.56099,                0.86954,                0.99475,                0.98765,                0.99496,                 0.9159,                  0.402,                0.30585,                0.83023,             0.00019471,             0.00019471,             0.00019471
