                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    188,                 0.3582,                0.34518,                0.83819,                0.99451,                0.99604,                  0.995,                0.93646,                0.36725,                0.21345,                0.82009,             0.00016623,             0.00016623,             0.00016623
                    189,                0.36293,                0.34925,                0.84186,                0.99545,                0.99796,                  0.995,                0.93979,                0.36903,                0.21376,                0.81875,             0.00016603,             0.00016603,             0.00016603
                    190,                 0.3613,                0.35063,                0.83986,                0.99476,                0.99936,                  0.995,                0.93806,                0.36754,                0.21171,                0.82059,             0.00016583,             0.00016583,             0.00016583
                    191,                0.36214,                0.34722,                 0.8399,                 0.9946,                0.99657,                  0.995,                0.93526,                0.37422,                0.21446,                0.82464,             0.00016563,             0.00016563,             0.00016563
                    192,                0.35646,                0.34113,                0.84073,                  0.995,                0.99801,                  0.995,                0.94153,                0.35866,                0.21121,                0.81688,             0.00016543,             0.00016543,             0.00016543
                    193,                0.36861,                0.34833,                0.84844,                0.99517,                0.99721,                  0.995,                0.93846,                0.36861,                0.21104,                0.81746,             0.00016522,             0.00016522,             0.00016522
                    194,                0.36159,                0.34235,                0.84114,                0.99528,                0.99742,                  0.995,                0.94073,                0.36077,                0.20966,                0.81735,             0.00016502,             0.00016502,             0.00016502
                    195,                0.35983,                0.33924,                0.84364,                 0.9944,                0.99624,                  0.995,                0.93882,                0.36633,                0.21182,                0.82084,             0.00016482,             0.00016482,             0.00016482
                    196,                0.35951,                0.34156,                0.84571,                0.99465,                0.99721,                  0.995,                0.93928,                0.36119,                0.21232,                0.81875,             0.00016462,             0.00016462,             0.00016462
                    197,                0.36263,                0.34311,                0.84035,                0.99505,                0.99625,                  0.995,                0.93413,                0.37081,                0.21216,                0.82056,             0.00016442,             0.00016442,             0.00016442
                    198,                0.35987,                0.34543,                0.84162,                0.99517,                0.99714,                  0.995,                0.93779,                0.36632,                0.21104,                0.82019,             0.00016421,             0.00016421,             0.00016421
                    199,                0.36546,                0.34602,                0.84386,                0.99475,                 0.9966,                  0.995,                0.93797,                0.36538,                0.20908,                 0.8201,             0.00016401,             0.00016401,             0.00016401
                    200,                0.35871,                0.33756,                0.83995,                0.99352,                0.99834,                  0.995,                0.93779,                0.36766,                0.21217,                0.82194,             0.00016381,             0.00016381,             0.00016381
                    201,                0.35699,                 0.3394,                0.84231,                 0.9941,                0.99593,                  0.995,                0.93954,                0.36622,                0.20975,                0.81979,             0.00016361,             0.00016361,             0.00016361
                    202,                0.36133,                0.34524,                0.83995,                0.99407,                0.99617,                  0.995,                0.93602,                0.36572,                0.21237,                 0.8204,             0.00016341,             0.00016341,             0.00016341
                    203,                0.36131,                0.34693,                0.84374,                0.99458,                0.99659,                  0.995,                0.93932,                0.36375,                0.21038,                0.82048,              0.0001632,              0.0001632,              0.0001632
                    204,                0.35718,                0.34044,                 0.8431,                0.99416,                0.99753,                  0.995,                0.93466,                0.36621,                0.21069,                0.82312,               0.000163,               0.000163,               0.000163
                    205,                0.36018,                0.33825,                0.84646,                 0.9954,                0.99964,                  0.995,                0.93712,                  0.373,                0.21251,                0.82341,              0.0001628,              0.0001628,              0.0001628
                    206,                0.35627,                0.33696,                0.84486,                0.99442,                0.99709,                  0.995,                0.93632,                0.37213,                0.20815,                0.82202,              0.0001626,              0.0001626,              0.0001626
                    207,                0.35866,                0.34047,                 0.8422,                0.99316,                0.99624,                  0.995,                0.93769,                0.36518,                0.20916,                0.82023,              0.0001624,              0.0001624,              0.0001624
                    208,                0.35324,                0.32947,                0.83785,                0.99353,                 0.9958,                  0.995,                0.93604,                0.36613,                0.20719,                0.81881,             0.00016219,             0.00016219,             0.00016219
                    209,                0.36297,                0.34928,                0.84155,                0.99296,                 0.9949,                0.99463,                0.94076,                0.36178,                0.20873,                0.81737,             0.00016199,             0.00016199,             0.00016199
                    210,                0.35994,                0.34242,                0.84747,                0.99369,                0.99465,                  0.995,                0.93864,                0.36499,                0.20614,                0.81909,             0.00016179,             0.00016179,             0.00016179
                    211,                0.36009,                0.33976,                0.84303,                0.99292,                0.99577,                  0.995,                0.94211,                 0.3595,                0.20593,                0.81799,             0.00016159,             0.00016159,             0.00016159
                    212,                0.35934,                 0.3392,                0.84302,                0.99398,                0.99784,                0.99492,                0.93916,                0.36357,                0.20915,                0.82103,             0.00016139,             0.00016139,             0.00016139
                    213,                0.35543,                0.33883,                0.84189,                0.99512,                0.99711,                  0.995,                0.93919,                0.36225,                0.20676,                 0.8192,             0.00016118,             0.00016118,             0.00016118
                    214,                0.35642,                0.33334,                0.84094,                0.99109,                0.99823,                  0.995,                0.93935,                0.35941,                0.20337,                0.81747,             0.00016098,             0.00016098,             0.00016098
                    215,                0.34046,                0.31919,                0.83718,                0.99303,                0.99755,                  0.995,                0.93721,                0.36739,                0.20563,                 0.8207,             0.00016078,             0.00016078,             0.00016078
                    216,                0.35649,                0.32838,                0.84239,                0.99449,                0.99782,                0.99489,                0.94033,                0.36317,                0.20532,                0.81908,             0.00016058,             0.00016058,             0.00016058
                    217,                0.35157,                0.32692,                0.83671,                0.99432,                0.99723,                  0.995,                0.93841,                  0.368,                0.20502,                0.81772,             0.00016038,             0.00016038,             0.00016038
                    218,                0.34863,                0.32583,                 0.8391,                0.99244,                0.99741,                  0.995,                0.93888,                0.36342,                0.20485,                0.81792,             0.00016017,             0.00016017,             0.00016017
                    219,                0.34926,                0.32869,                0.83985,                0.99191,                0.99776,                0.99465,                0.93915,                0.35965,                0.20217,                0.81788,             0.00015997,             0.00015997,             0.00015997
                    220,                0.35461,                0.33745,                0.84572,                0.99384,                0.99849,                  0.995,                0.93888,                0.36671,                0.20517,                0.81887,             0.00015977,             0.00015977,             0.00015977
                    221,                0.35551,                0.33177,                0.84544,                0.99311,                0.99733,                  0.995,                0.93593,                0.36619,                0.20524,                0.81946,             0.00015957,             0.00015957,             0.00015957
                    222,                 0.3464,                 0.3229,                0.83693,                 0.9929,                0.99737,                  0.995,                 0.9372,                0.35836,                0.20341,                 0.8173,             0.00015937,             0.00015937,             0.00015937
                    223,                0.34829,                 0.3302,                0.83886,                0.99431,                0.99816,                  0.995,                0.93932,                0.36295,                0.20302,                0.81658,             0.00015916,             0.00015916,             0.00015916
                    224,                0.35318,                0.33132,                0.84163,                0.99411,                 0.9992,                  0.995,                0.94176,                0.35829,                0.20191,                0.81699,             0.00015896,             0.00015896,             0.00015896
                    225,                0.34445,                0.31651,                0.83582,                0.99525,                0.99731,                  0.995,                0.93675,                0.36142,                0.20635,                0.82151,             0.00015876,             0.00015876,             0.00015876
                    226,                0.35111,                0.32676,                 0.8394,                0.99314,                0.99726,                  0.995,                0.93785,                0.35903,                0.20455,                0.82146,             0.00015856,             0.00015856,             0.00015856
                    227,                0.35278,                 0.3323,                0.84135,                0.99562,                0.99748,                  0.995,                0.93616,                0.36166,                0.20205,                0.81744,             0.00015836,             0.00015836,             0.00015836
                    228,                0.34554,                0.31874,                0.84154,                0.99505,                0.99814,                  0.995,                 0.9378,                0.36379,                0.20478,                 0.8172,             0.00015816,             0.00015816,             0.00015816
                    229,                0.34871,                0.32435,                0.84202,                0.99614,                0.99909,                  0.995,                 0.9362,                0.36976,                0.21129,                0.82069,             0.00015795,             0.00015795,             0.00015795
                    230,                0.34513,                0.32498,                 0.8395,                0.99505,                0.99823,                  0.995,                0.93972,                0.36362,                0.20841,                0.81993,             0.00015775,             0.00015775,             0.00015775
                    231,                 0.3477,                 0.3216,                0.84303,                0.99334,                0.99649,                0.99489,                0.94113,                0.36741,                0.20981,                0.81927,             0.00015755,             0.00015755,             0.00015755
                    232,                0.34845,                0.33369,                0.83885,                0.99375,                0.99842,                  0.995,                0.93711,                0.35839,                0.20583,                0.81788,             0.00015735,             0.00015735,             0.00015735
                    233,                 0.3515,                0.32568,                0.84197,                0.99425,                0.99841,                  0.995,                0.93901,                  0.358,                0.20224,                0.81647,             0.00015715,             0.00015715,             0.00015715
                    234,                 0.3443,                0.32073,                0.84031,                0.99452,                0.99768,                  0.995,                0.93907,                0.36017,                0.20091,                0.81695,             0.00015694,             0.00015694,             0.00015694
                    235,                0.34529,                0.32205,                0.83684,                0.99425,                0.99729,                  0.995,                0.93911,                0.36065,                0.20128,                0.81819,             0.00015674,             0.00015674,             0.00015674
                    236,                 0.3477,                0.32198,                0.84027,                0.99519,                0.99792,                  0.995,                0.94018,                 0.3615,                0.20434,                0.81701,             0.00015654,             0.00015654,             0.00015654
                    237,                0.33825,                0.30914,                0.83297,                0.99545,                0.99812,                  0.995,                0.93891,                 0.3604,                0.19916,                0.81695,             0.00015634,             0.00015634,             0.00015634
                    238,                0.34396,                0.31683,                0.83769,                0.99426,                0.99806,                  0.995,                0.93924,                0.36305,                0.20271,                0.81916,             0.00015614,             0.00015614,             0.00015614
                    239,                0.35439,                0.32593,                0.84153,                0.99514,                0.99798,                  0.995,                0.94132,                0.35762,                0.20244,                 0.8195,             0.00015593,             0.00015593,             0.00015593
                    240,                0.33424,                0.30927,                0.83263,                0.99255,                0.99694,                0.99476,                0.94075,                0.36074,                0.20348,                0.82057,             0.00015573,             0.00015573,             0.00015573
                    241,                 0.3437,                0.32391,                 0.8339,                0.99429,                0.99617,                  0.995,                 0.9424,                0.36321,                0.20299,                0.81929,             0.00015553,             0.00015553,             0.00015553
                    242,                0.34586,                0.32269,                0.83973,                0.99557,                0.99808,                  0.995,                0.94347,                0.35675,                0.20424,                0.81669,             0.00015533,             0.00015533,             0.00015533
                    243,                0.34537,                0.31713,                0.83926,                 0.9941,                0.99759,                  0.995,                0.94055,                0.35693,                0.20409,                0.81649,             0.00015513,             0.00015513,             0.00015513
                    244,                0.34351,                 0.3227,                0.83926,                0.99577,                0.99705,                  0.995,                0.93989,                0.35921,                0.20575,                0.81908,             0.00015492,             0.00015492,             0.00015492
                    245,                0.34071,                0.31452,                0.83765,                0.99547,                 0.9962,                  0.995,                0.93752,                0.36933,                0.20857,                0.82084,             0.00015472,             0.00015472,             0.00015472
                    246,                0.34573,                0.32063,                0.83872,                0.99517,                0.99893,                  0.995,                0.94144,                 0.3581,                0.20456,                0.81839,             0.00015452,             0.00015452,             0.00015452
                    247,                0.34377,                0.31613,                0.83934,                0.99412,                0.99705,                  0.995,                0.94121,                0.36242,                0.20642,                0.82106,             0.00015432,             0.00015432,             0.00015432
                    248,                0.34349,                0.31857,                0.83863,                0.99346,                0.99695,                  0.995,                 0.9389,                0.36009,                0.20075,                0.82021,             0.00015412,             0.00015412,             0.00015412
                    249,                0.34198,                0.31594,                0.83374,                0.99302,                0.99826,                  0.995,                0.93987,                0.36058,                 0.2033,                0.81879,             0.00015391,             0.00015391,             0.00015391
                    250,                0.34145,                 0.3095,                0.84006,                0.99538,                0.99699,                  0.995,                0.94237,                0.35634,                0.19816,                0.81831,             0.00015371,             0.00015371,             0.00015371
                    251,                0.34094,                 0.3143,                0.83357,                0.99386,                0.99645,                0.99476,                0.94256,                0.35792,                0.20073,                0.81855,             0.00015351,             0.00015351,             0.00015351
                    252,                0.34248,                0.31292,                0.83712,                0.99257,                0.99635,                0.99489,                0.93808,                0.36149,                0.20141,                0.81978,             0.00015331,             0.00015331,             0.00015331
                    253,                0.34228,                0.31659,                0.83646,                 0.9952,                0.99801,                  0.995,                0.94121,                0.35924,                0.20245,                0.81836,             0.00015311,             0.00015311,             0.00015311
                    254,                0.34141,                0.31668,                0.83697,                 0.9919,                0.99614,                0.99492,                 0.9391,                0.36691,                0.20432,                0.81982,              0.0001529,              0.0001529,              0.0001529
                    255,                0.33766,                0.30568,                0.83883,                0.99385,                0.99543,                0.99489,                0.93673,                0.36581,                0.20491,                0.82125,              0.0001527,              0.0001527,              0.0001527
                    256,                0.34077,                0.31747,                0.83762,                0.99545,                 0.9982,                  0.995,                0.93892,                0.35999,                0.20068,                0.81819,              0.0001525,              0.0001525,              0.0001525
                    257,                0.33291,                0.30674,                0.83305,                0.99477,                0.99774,                  0.995,                0.94079,                0.36054,                0.20106,                0.82003,              0.0001523,              0.0001523,              0.0001523
                    258,                0.33341,                0.30818,                0.83595,                0.99358,                0.99656,                  0.995,                0.94171,                0.36643,                0.20355,                0.82135,              0.0001521,              0.0001521,              0.0001521
                    259,                0.33547,                0.30567,                0.83658,                0.99403,                0.99813,                  0.995,                0.94343,                0.35783,                0.19789,                 0.8183,             0.00015189,             0.00015189,             0.00015189
                    260,                 0.3413,                 0.3096,                0.83929,                0.99425,                0.99801,                  0.995,                0.94325,                0.35774,                0.19594,                 0.8207,             0.00015169,             0.00015169,             0.00015169
                    261,                 0.3368,                 0.3085,                0.83887,                0.99252,                0.99602,                  0.995,                0.94434,                0.35608,                0.19947,                0.81877,             0.00015149,             0.00015149,             0.00015149
                    262,                0.33343,                0.30898,                0.83845,                0.99142,                0.99565,                0.99338,                0.93876,                0.36058,                0.20219,                0.82077,             0.00015129,             0.00015129,             0.00015129
                    263,                0.34333,                0.30694,                0.84161,                0.99167,                0.99588,                0.99439,                0.94053,                0.36117,                0.20293,                0.81953,             0.00015109,             0.00015109,             0.00015109
                    264,                 0.3379,                0.31005,                0.84003,                0.99587,                0.99694,                  0.995,                0.94266,                0.35801,                0.19523,                0.81807,             0.00015088,             0.00015088,             0.00015088
                    265,                0.33268,                0.29959,                0.83661,                0.99406,                0.99146,                0.99496,                0.93809,                0.36828,                0.20003,                0.82267,             0.00015068,             0.00015068,             0.00015068
                    266,                0.33426,                0.30256,                0.83783,                0.99534,                0.99704,                  0.995,                0.94187,                0.35673,                0.19476,                 0.8187,             0.00015048,             0.00015048,             0.00015048
                    267,                0.33376,                0.30233,                 0.8345,                0.99458,                0.99814,                  0.995,                0.94191,                0.35702,                0.19551,                0.81646,             0.00015028,             0.00015028,             0.00015028
                    268,                0.33582,                0.30918,                0.83462,                0.99366,                0.99534,                  0.995,                0.94002,                0.35705,                0.19758,                0.81815,             0.00015008,             0.00015008,             0.00015008
                    269,                0.34119,                0.30737,                0.84099,                0.99535,                0.99827,                  0.995,                0.93871,                0.36379,                 0.2008,                0.82247,             0.00014987,             0.00014987,             0.00014987
                    270,                0.33615,                0.30588,                0.83449,                0.99545,                0.99715,                  0.995,                0.94016,                0.35832,                0.19679,                 0.8186,             0.00014967,             0.00014967,             0.00014967
                    271,                0.33325,                 0.3057,                0.83863,                0.99304,                0.99426,                  0.995,                0.94111,                0.35915,                0.19686,                0.81666,             0.00014947,             0.00014947,             0.00014947
                    272,                 0.3372,                0.30761,                0.83715,                0.99299,                0.99406,                0.99476,                0.94239,                 0.3542,                0.19775,                0.81637,             0.00014927,             0.00014927,             0.00014927
                    273,                0.33293,                0.30119,                0.83503,                0.99481,                0.99473,                  0.995,                0.93937,                0.36173,                0.19812,                0.81855,             0.00014907,             0.00014907,             0.00014907
                    274,                0.33073,                 0.3004,                0.83414,                0.99432,                0.99565,                  0.995,                0.94057,                 0.3594,                0.19639,                0.81899,             0.00014886,             0.00014886,             0.00014886
                    275,                0.33789,                0.30146,                0.83657,                0.99592,                0.99804,                  0.995,                0.93874,                0.36782,                0.19927,                0.82046,             0.00014866,             0.00014866,             0.00014866
                    276,                0.33161,                0.30103,                0.83448,                0.99403,                0.99741,                  0.995,                 0.9427,                0.35588,                0.19807,                0.81781,             0.00014846,             0.00014846,             0.00014846
                    277,                0.33489,                0.30573,                0.83134,                 0.9932,                0.99633,                  0.995,                0.94293,                0.35337,                0.19509,                0.81649,             0.00014826,             0.00014826,             0.00014826
                    278,                 0.3357,                0.31099,                0.84418,                0.99367,                0.99449,                  0.995,                0.94108,                0.35746,                 0.1945,                0.81829,             0.00014806,             0.00014806,             0.00014806
                    279,                0.33483,                0.30285,                0.84198,                0.99314,                0.99408,                  0.995,                0.94192,                0.35612,                0.19304,                0.81889,             0.00014786,             0.00014786,             0.00014786
                    280,                0.32839,                0.29269,                0.83346,                 0.9959,                0.99741,                  0.995,                0.93984,                0.35613,                 0.1929,                0.81792,             0.00014765,             0.00014765,             0.00014765
                    281,                0.33458,                0.30452,                0.83964,                0.99537,                0.99779,                  0.995,                0.94218,                0.35318,                0.19307,                0.81602,             0.00014745,             0.00014745,             0.00014745
                    282,                0.32626,                0.29609,                0.83416,                0.99485,                0.99651,                0.99496,                0.94301,                0.35727,                0.19602,                0.81778,             0.00014725,             0.00014725,             0.00014725
                    283,                0.33445,                0.30705,                 0.8397,                 0.9958,                0.99799,                  0.995,                0.93904,                0.36947,                0.19915,                0.82249,             0.00014705,             0.00014705,             0.00014705
                    284,                0.32951,                0.30157,                0.83313,                 0.9958,                0.99918,                  0.995,                0.93542,                0.37214,                0.19829,                0.82266,             0.00014685,             0.00014685,             0.00014685
                    285,                0.32619,                0.29675,                 0.8332,                0.99557,                0.99596,                  0.995,                0.94218,                0.35718,                0.19358,                0.81941,             0.00014664,             0.00014664,             0.00014664
                    286,                0.33132,                0.29571,                0.83297,                0.99449,                0.99708,                  0.995,                0.94288,                 0.3578,                0.19432,                0.82154,             0.00014644,             0.00014644,             0.00014644
                    287,                0.32272,                0.29629,                0.83216,                0.99382,                0.99719,                  0.995,                0.94265,                0.35537,                0.19048,                0.81965,             0.00014624,             0.00014624,             0.00014624
                    288,                0.33458,                0.30344,                0.83849,                0.99401,                0.99646,                  0.995,                0.94334,                0.35571,                0.19432,                0.81872,             0.00014604,             0.00014604,             0.00014604
                    289,                0.33469,                0.29971,                0.83635,                0.99443,                0.99679,                  0.995,                0.94229,                0.35454,                0.19271,                 0.8187,             0.00014584,             0.00014584,             0.00014584
                    290,                0.33626,                0.31047,                0.83627,                  0.995,                0.99632,                  0.995,                0.94315,                0.35722,                0.19316,                0.81875,             0.00014563,             0.00014563,             0.00014563
                    291,                0.33163,                0.29392,                0.83582,                0.99431,                0.99521,                  0.995,                0.94349,                0.35439,                0.19168,                0.81804,             0.00014543,             0.00014543,             0.00014543
                    292,                0.32845,                0.29503,                0.83942,                0.99454,                0.99659,                  0.995,                0.94269,                0.35361,                0.19072,                0.81898,             0.00014523,             0.00014523,             0.00014523
                    293,                0.33111,                0.29579,                0.83356,                0.99433,                0.99721,                  0.995,                0.94178,                0.35564,                 0.1899,                0.81954,             0.00014503,             0.00014503,             0.00014503
                    294,                0.33006,                0.29508,                0.83473,                 0.9947,                0.99614,                  0.995,                0.94102,                0.35915,                0.19445,                0.82047,             0.00014483,             0.00014483,             0.00014483
                    295,                0.33298,                0.29899,                0.83578,                0.99493,                0.99622,                  0.995,                0.93933,                0.36615,                0.19644,                0.82273,             0.00014462,             0.00014462,             0.00014462
                    296,                0.32784,                0.29586,                0.83701,                0.99534,                0.99719,                  0.995,                0.94177,                0.35562,                0.19011,                0.81895,             0.00014442,             0.00014442,             0.00014442
                    297,                0.32302,                0.29199,                0.83072,                0.99537,                0.99707,                  0.995,                0.94203,                0.35364,                0.19072,                0.81637,             0.00014422,             0.00014422,             0.00014422
                    298,                0.32891,                0.29479,                0.83183,                0.99511,                0.99806,                  0.995,                0.93853,                0.36673,                0.19638,                0.82066,             0.00014402,             0.00014402,             0.00014402
                    299,                0.32379,                 0.2954,                0.83227,                0.99503,                 0.9957,                  0.995,                 0.9424,                0.36013,                0.19388,                0.81933,             0.00014382,             0.00014382,             0.00014382
                    300,                 0.3183,                0.28845,                0.83712,                0.99391,                0.99557,                  0.995,                0.94254,                0.35899,                0.19686,                0.82063,             0.00014361,             0.00014361,             0.00014361
                    301,                0.32323,                0.29136,                0.83332,                0.99439,                0.99505,                  0.995,                0.94055,                0.35912,                0.19193,                0.81966,             0.00014341,             0.00014341,             0.00014341
                    302,                0.32877,                 0.2973,                0.83893,                0.99513,                  0.995,                  0.995,                0.94402,                0.35792,                 0.1927,                0.81944,             0.00014321,             0.00014321,             0.00014321
                    303,                0.33292,                0.30192,                0.83812,                0.99496,                0.99463,                  0.995,                0.94308,                0.35472,                0.19381,                0.81816,             0.00014301,             0.00014301,             0.00014301
                    304,                0.32832,                0.29965,                0.83192,                0.99455,                0.99712,                  0.995,                0.94143,                0.35676,                0.19171,                0.81873,             0.00014281,             0.00014281,             0.00014281
                    305,                 0.3239,                0.28982,                0.83477,                0.99382,                0.99706,                  0.995,                0.94549,                0.35337,                0.19039,                0.81675,              0.0001426,              0.0001426,              0.0001426
                    306,                0.32435,                0.29228,                0.83615,                0.99512,                0.99365,                  0.995,                0.94484,                0.35334,                0.19106,                0.81804,              0.0001424,              0.0001424,              0.0001424
                    307,                0.32298,                0.27936,                0.83264,                0.99527,                0.99713,                  0.995,                0.94249,                0.35915,                0.19274,                0.81906,              0.0001422,              0.0001422,              0.0001422
                    308,                0.32447,                 0.2846,                0.83353,                0.99459,                0.99679,                  0.995,                 0.9411,                 0.3608,                0.19411,                0.81992,               0.000142,               0.000142,               0.000142
                    309,                0.32726,                0.28885,                0.83655,                0.99521,                0.99747,                  0.995,                0.94256,                0.36164,                0.19207,                0.81984,              0.0001418,              0.0001418,              0.0001418
                    310,                0.32169,                0.28634,                0.83792,                 0.9952,                0.99704,                  0.995,                0.94507,                0.35721,                0.19488,                0.81917,             0.00014159,             0.00014159,             0.00014159
                    311,                0.32518,                0.29158,                0.83502,                0.99572,                0.99629,                  0.995,                0.94299,                0.36558,                0.19633,                0.82157,             0.00014139,             0.00014139,             0.00014139
                    312,                0.32559,                0.28667,                0.83211,                0.99507,                0.99568,                  0.995,                0.94503,                 0.3551,                0.19294,                0.81846,             0.00014119,             0.00014119,             0.00014119
                    313,                 0.3297,                0.29488,                0.83444,                0.99434,                0.99611,                  0.995,                0.94254,                 0.3569,                0.19272,                0.81888,             0.00014099,             0.00014099,             0.00014099
                    314,                0.32916,                0.29201,                0.83649,                0.99586,                 0.9972,                  0.995,                0.94454,                0.35089,                0.18917,                0.81903,             0.00014079,             0.00014079,             0.00014079
                    315,                0.31977,                  0.286,                0.83239,                  0.996,                0.99764,                  0.995,                0.94326,                0.35249,                0.18931,                0.81766,             0.00014058,             0.00014058,             0.00014058
                    316,                 0.3191,                0.28348,                  0.834,                0.99627,                0.99738,                  0.995,                0.94279,                0.35061,                0.18833,                0.81722,             0.00014038,             0.00014038,             0.00014038
                    317,                0.31931,                0.28589,                0.83485,                0.99588,                0.99662,                  0.995,                0.94296,                0.35103,                0.18805,                0.81767,             0.00014018,             0.00014018,             0.00014018
                    318,                0.32251,                0.29012,                0.83427,                0.99576,                0.99827,                  0.995,                0.94378,                0.35417,                0.18901,                0.81883,             0.00013998,             0.00013998,             0.00013998
                    319,                0.31842,                0.28496,                0.83392,                 0.9955,                0.99752,                  0.995,                 0.9426,                0.35488,                0.18776,                0.81861,             0.00013978,             0.00013978,             0.00013978
                    320,                 0.3253,                 0.2908,                0.83379,                0.99466,                0.99756,                  0.995,                0.94202,                0.36329,                0.19367,                0.82174,             0.00013957,             0.00013957,             0.00013957
                    321,                0.32182,                 0.2911,                0.83825,                0.99603,                0.99552,                  0.995,                0.94464,                0.35541,                0.18896,                0.81929,             0.00013937,             0.00013937,             0.00013937
